task,LM,init_lr,slurm_id,dev_acc
sst2,embeddings_roberta_base_corr_6000,1.00E-05,5258461,0.9392
sst2,embeddings_xlm_roberta_base,1.00E-06,5336334,0.9289
sst2,embeddings_xlm_roberta_base_corr_500,1.00E-05,5367088,0.9255
sst2,embeddings_xlm_roberta_base_corr_1000,1.00E-05,5367173,0.9255
sst2,embeddings_xlm_roberta_base_corr_2000,1.00E-05,5367209,0.9151
sst2,embeddings_xlm_roberta_base_corr_4000,1.00E-05,5367250,0.9278
sst2,embeddings_xlm_roberta_base_corr_6000,1.00E-05,5367316,0.9289
sst2,embeddings_albert_base_v2,3.00E-06,5336608,0.9266
sst2,embeddings_albert_base_v2_corr_500,3.00E-06,5369662,0.922
sst2,embeddings_albert_base_v2_corr_1000,1.00E-05,5569272,0.9197
sst2,embeddings_albert_base_v2_corr_2000,1.00E-05,5569268,0.9151
sst2,embeddings_albert_base_v2_corr_4000,3.00E-06,5369799,0.9186
sst2,embeddings_albert_base_v2_corr_6000,1.00E-05,5369862,0.9209
sst2,embeddings_microsoft_deberta_base,3.00E-06,5507498,0.9518
sst2,embeddings_microsoft_deberta_base_corr_500,3.00E-06,5700728,0.9427
sst2,embeddings_microsoft_deberta_base_corr_1000,3.00E-06,5700735,0.9415
sst2,embeddings_microsoft_deberta_base_corr_2000,1.00E-05,5700740,0.9472
sst2,embeddings_microsoft_deberta_base_corr_4000,1.00E-05,5700746,0.9438
sst2,embeddings_microsoft_deberta_base_corr_6000,3.00E-06,5700753,0.9427
sst2,embeddings_xlnet_base_cased,3.00E-06,5508428,0.9392
qqp,embeddings_roberta_base,1.00E-05,5279724,0.9143
qqp,embeddings_roberta_base_corr_500,1.00E-05,5289870,0.9164
qqp,embeddings_roberta_base_corr_1000,1.00E-05,5289879,0.916
qqp,embeddings_roberta_base_corr_2000,1.00E-05,5289888,0.9166
qqp,embeddings_roberta_base_corr_4000,1.00E-05,5289899,0.9165
qqp,embeddings_roberta_base_corr_6000,1.00E-05,5289940,0.9169
qqp,embeddings_xlm_roberta_base,1.00E-05,5336348,0.9093
qqp,embeddings_xlm_roberta_base_corr_500,1.00E-05,5367106,0.7834
qqp,embeddings_xlm_roberta_base_corr_1000,1.00E-05,5367191,0.7875
qqp,embeddings_xlm_roberta_base_corr_2000,3.00E-06,5367228,0.7821
qqp,embeddings_xlm_roberta_base_corr_4000,1.00E-05,5367269,0.7846
qqp,embeddings_xlm_roberta_base_corr_6000,1.00E-05,5367334,0.7875
qqp,embeddings_albert_base_v2,1.00E-05,5336622,0.7759
qqp,embeddings_albert_base_v2_corr_500,1.00E-05,5569526,0.7708
qqp,embeddings_albert_base_v2_corr_1000,1.00E-05,5369698,0.7757
qqp,embeddings_albert_base_v2_corr_2000,1.00E-05,5369742,0.7581
qqp,embeddings_albert_base_v2_corr_4000,1.00E-05,5369796,0.7755
qqp,embeddings_albert_base_v2_corr_6000,3.00E-06,5369872,0.7722
qqp,embeddings_microsoft_deberta_base,1.00E-05,5507515,0.7865
qqp,embeddings_microsoft_deberta_base_corr_500,1.00E-05,5700839,0.7742
qqp,embeddings_microsoft_deberta_base_corr_1000,3.00E-06,5700846,0.7822
qqp,embeddings_microsoft_deberta_base_corr_2000,3.00E-06,5700852,0.7831
qqp,embeddings_microsoft_deberta_base_corr_4000,3.00E-06,5700858,0.7874
qqp,embeddings_microsoft_deberta_base_corr_6000,1.00E-05,5700863,0.7868
qqp,embeddings_xlnet_base_cased,3.00E-06,5624745,0.7805
